"","yrs","total","category"
"513",2023-01-01,6844,"sdoh"
"514",2022-01-01,6884,"sdoh"
"515",2021-01-01,6130,"sdoh"
"516",2020-01-01,5064,"sdoh"
"517",2019-01-01,3899,"sdoh"
"518",2018-01-01,3320,"sdoh"
"519",2017-01-01,2750,"sdoh"
"520",2016-01-01,2357,"sdoh"
"521",2015-01-01,2038,"sdoh"
"522",2014-01-01,1797,"sdoh"
"523",2013-01-01,1325,"sdoh"
"524",2012-01-01,1001,"sdoh"
"525",2011-01-01,906,"sdoh"
"526",2010-01-01,774,"sdoh"
"527",2009-01-01,671,"sdoh"
"528",2008-01-01,555,"sdoh"
"529",2007-01-01,483,"sdoh"
"530",2006-01-01,428,"sdoh"
"531",2005-01-01,364,"sdoh"
"532",2004-01-01,294,"sdoh"
"533",2003-01-01,249,"sdoh"
"534",2002-01-01,242,"sdoh"
"535",2001-01-01,190,"sdoh"
"536",2000-01-01,216,"sdoh"
"537",1999-01-01,174,"sdoh"
"538",1998-01-01,184,"sdoh"
"539",1997-01-01,198,"sdoh"
"540",1996-01-01,175,"sdoh"
"541",1995-01-01,143,"sdoh"
"542",1994-01-01,141,"sdoh"
"543",1993-01-01,148,"sdoh"
"544",1992-01-01,131,"sdoh"
"545",1991-01-01,133,"sdoh"
"546",1990-01-01,95,"sdoh"
"547",1989-01-01,79,"sdoh"
"548",1988-01-01,68,"sdoh"
"549",1987-01-01,54,"sdoh"
"550",1986-01-01,44,"sdoh"
"551",1985-01-01,46,"sdoh"
"552",1984-01-01,56,"sdoh"
"553",1983-01-01,46,"sdoh"
"554",1982-01-01,24,"sdoh"
"555",1981-01-01,23,"sdoh"
"556",1980-01-01,31,"sdoh"
"557",1979-01-01,16,"sdoh"
"558",1978-01-01,19,"sdoh"
"559",1977-01-01,9,"sdoh"
"560",1976-01-01,8,"sdoh"
"561",1975-01-01,8,"sdoh"
"562",1974-01-01,6,"sdoh"
"563",1973-01-01,10,"sdoh"
"564",1972-01-01,2,"sdoh"
"565",1971-01-01,4,"sdoh"
"566",1970-01-01,1,"sdoh"
"567",1969-01-01,4,"sdoh"
"568",1968-01-01,3,"sdoh"
"569",1967-01-01,2,"sdoh"
"570",1966-01-01,4,"sdoh"
"571",1965-01-01,1,"sdoh"
"572",1961-01-01,1,"sdoh"
